Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  El Cultivador QuillotaExternoRastraje ; Brice_oQuillotaExternoRastraje ;17-09-16;Brice_o;  Rastraje  ;Rastraje;; Quillota ; Externo ;;172;;;  segìn detalle  ;;1;;85.000;85.000;;85.000;  El Cultivador  ;  Pagada  ; Pagada ;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;20-09-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;;;;  Buldoc/bravo/coron  ;;2;  HA  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  Guillermo Zamora PocochayExternoOtros ; Brice_oPocochayExternoOtros ;11-10-16;Brice_o;  Prep Suelo  ; Otros ;; Pocochay ; Externo ;;175;;;;;6;  hrs  ;15.000;90.000;;90.000;  Guillermo Zamora  ;  Pagada  ; Pagada ;
  Ventura Llay LlayBrocoliOtros ; Brice_oLlay LlayBrocoliOtros ;30-09-16;Brice_o;  VaRIOS  ; Otros ;; Llay Llay ; Brocoli ;;174;;;  segìn detalle  ;;1;;720.000;720.000;;720.000;  Ventura  ;  Pagada  ; Pagada ;
  Massai La FortunaMarigoldAplic. Herbicida ; Brice_oLa FortunaMarigoldAplic. Herbicida ;12-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; Marigold ;;;;;  Linurex  ;;1;  HA  ;20.000;20.000;3.800;23.800;  Massai  ;;;
  Massai SJ/C2/LFApioOtros ; Brice_oSJ/C2/LFApioOtros ;01-11-16;Brice_o;  Varios  ; Otros ;; SJ/C2/LF ; Apio ;;184;;;  9126 bins cargados  ;;1;  Unid.  ;13.689.000;13.689.000;2.600.910;16.289.910;  Massai  ;;;
 ValcamCatemuTomateAplic. Guano ; Brice_oCatemuTomateAplic. Guano ;25-11-16;Brice_o;Aplic. Guano;Aplic. Guano;; Catemu ; Tomate ;;185;  RS  ;;  No considerar en costeo solo pago RS  ;;9,5;  HA  ;80.000;760.000;;760.000; Valcam ;;;
 ValcamCatemuTomateAradura ; Brice_oCatemuTomateAradura ;25-11-16;Brice_o;ST;Aradura;; Catemu ; Tomate ;;185;  RS  ;;  No considerar en costeo solo pago RS  ;;9,5;  HA  ;30.000;285.000;;285.000; Valcam ;;;
 ValcamCatemuTomateRastraje ; Brice_oCatemuTomateRastraje ;25-11-16;Brice_o;  Rastraje  ;Rastraje;; Catemu ; Tomate ;;185;  RS  ;;  No considerar en costeo solo pago RS  ;;9,5;  HA  ;25.000;237.500;;237.500; Valcam ;;;
 ValcamCatemuTomateAradura ; Brice_oCatemuTomateAradura ;25-11-16;Brice_o;ST;Aradura;; Catemu ; Tomate ;;185;  RS  ;;  No considerar en costeo solo pago RS  ;;17;  HA  ;30.000;510.000;;510.000; Valcam ;;;
 ValcamCatemuTomateRastraje ; Brice_oCatemuTomateRastraje ;25-11-16;Brice_o;  Rastraje  ;Rastraje;; Catemu ; Tomate ;;185;  RS  ;;  No considerar en costeo solo pago RS  ;;34;  HA  ;25.000;850.000;;850.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;20-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;167;;;;2;7,5;  HA  ;25.000;375.000;;375.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;20-09-16;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;2;167;;;;2;7,5;  HA  ;30.000;450.000;;450.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;20-09-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;167;;;;1;7,5;  HA  ;25.000;187.500;;187.500; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Guano ; Brice_oLlay llayApio 17Aplic. Guano ;20-09-16;Brice_o;Aplic. Guano;Aplic. Guano;; Llay llay ; Apio 17 ;2;167;;;;1;7,5;  HA  ;80.000;600.000;;600.000; Valcam ;;;
