Bodega;PRODUCTO;CLASIFICACION;ING. ACTIVO;Fecha Ingreso;Cantidad;n¡ Guia;Saldo;Unid.;Fechas Salida;Cantidad;Saldo;Empresa;Lugar;Cultivo;Sector; N¡ Guia  ; Valor Unit ; $ salida ; $ stock ;X;
San Jorge;Bravo;Fungicidas;clorotalonilo;22-08-16;Prest. Massai;;6;lts;22-08-16;6;0;Gonzalo Gonzalez;San Pedro;Apio 17;;;9330;55980; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;22-08-16;Prest. Massai;;1;lts;22-08-16;1;0;Valcam;San Jorge;Monarda;;;9330;9330; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;22-08-16;Prest. Massai;;30;lts;22-08-16;30;0;Valcam;Catemu;Apio 17;;;9330;279900; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;26-08-16;Prest. Massai;;1;lts;26-08-16;1;0;Valcam;San Jorge;Monarda;;;9330;9330; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;30-08-16;Prest. Massai;;8;lts;30-08-16;8;0;Valcam Zamora;Allende;Apio 17;;;9330;74640; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;05-09-16;Prest. Massai;;4;lts;05-09-16;4;0;Gonzalo Gonzalez;San Pedro;Apio 17;;;9330;37320; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;05-09-16;Prest. Massai;;10;lts;05-09-16;10;0;Pedro Henriquez;Llay Llay;Apio 17;;;9330;93300; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;14-09-16;100;;100;lts;14-09-16;50;50;Massai;Devolucion;;;;9330;466500;466.500;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;50;lts;15-09-16;5;45;Valcam Zamora;Allende;Apio 17;;;9330;46650;419.850;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;45;lts;16-09-16;1;44;Valcam;San Jorge;Monarda;;;9330;9330;410.520;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;44;lts;20-09-16;6;38;Gonzalo Gonzalez;San Pedro;Apio 17;;;9330;55980;354.540;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;38;lts;01-10-16;1;37;Valcam;San Jorge;Monarda;;;9330;9330;345.210;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;37;lts;08-10-16;5;32;Pedro Henriquez;Llay Llay;Apio 17;;;9330;46650;298.560;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;32;lts;13-10-16;2;30;Rosario Fernandez;La Ligua;Flores;;;9330;18660;279.900;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;30;lts;13-10-16;2;28;Norfa Gomez;La Ligua;Flores;;;9330;18660;261.240;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;17-10-16;35;;63;lts;17-10-16;40;23;Valcam;Llay Llay;Tomate 17;;;9330;373200;214.590;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;23;lts;21-10-16;13;10;Valcam;Llay Llay;Apio 17;;;9330;121290;93.300;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;10;lts;02-11-16;5;5;Ventura ;Catemu;Brocoli;;;9330;46650;46.650;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;5;lts;21-11-16;2,5;2,5;Ventura ;Catemu;Brocoli;;;9330;23325;23.325;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;29-11-16;40;;42,5;lts;30-11-16;30;12,5;Valcam;Catemu;Tomate;;;9330;279900;116.625;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;12,5;lts;02-12-16;12,5;0;Valcam;Llay Llay;Tomate 17;;;9330;116625; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;10-12-16;30;;30;lts;10-12-16;30;0;Valcam;Llay Llay;Tomate 17;;;9330;279900; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;21-12-116;70;;70;lts;21-12-16;30;40;Massai;Devolucion;;;;9330;279900;373.200;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;40;lts;30-12-16;1;39;Valcam;San Jorge;flores;;;9330;9330;363.870;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;39;lts;05-01-17;16;23;Valcam;Llay Llay;Tomate 17;;;9330;149280;214.590;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;23;lts;06-01-17;4;19;Valcam;Llay Llay;Apio 17;;;9330;37320;177.270;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;19;lts;14-01-17;14;5;Valcam;Llay Llay;Tomate 17;;;9330;130620;46.650;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;5;lts;14-01-17;3,5;1,5;Massai;San Jorge;Aj’ 17;;;9330;32655;13.995;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;1,5;lts;04-02-17;1;0,5;Valcam;Catemu;tomate;;;9330;9330;4.665;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;0,5;lts;10-02-17;0,5;0;Valcam;Pocochay;Flores;;;9330;4665; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;25-03-17;240;;240;lts;18-04-17;58;182;Jaime Arancibia;Nogales;Apio 17;;;9330;541.140;1.698.060;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;182;lts;24-04-17;2;180;Valcam;Sta Olga;Apio 17;;;9330;18660;1.679.400;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;180;lts;25-04-17;3;177;Valcam;Catemu;Apio 17;;;9330;27990;1.651.410;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;177;lts;26-04-17;1,5;175,5;Valcam;Collao;Apio 17;;;9330;13995;1.637.415;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;175,5;lts;25-04-17;1;174,5;Valcam;Llay Llay;Apio 17;;;9330;9330;1.628.085;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;174,5;lts;27-04-17;2;172,5;Valcam Zamora;La Hornilla;Apio 17;;;9330;18660;1.609.425;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;172,5;lts;03-05-17;3;169,5;Victor Collao;La Calera;Apio 17;;;9330;27990;1.581.435;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;169,5;lts;16-05-17;12;157,5;Ventura ;Catemu;Apio 17;;;9330;111960;1.469.475;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;157,5;lts;16-05-17;7;150,5;Ricardo Vasquez;Catemu;Apio 17;;;9330;23CAP0104;1.404.165;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;150,5;lts;16-05-17;20;130,5;Valcam;Llay Llay;Apio 17;;;9330;186600;1.217.565;;
