Fecha ;Nç;T.DOC.;Proveedor;Item;ClasificaciÜn Gastos;Lugar;Cultivo/Unidad;ClasificaciÜn Cultivo; Nç ; Cantidad ; Unit. ; Neto ; IVA ; IEF ; IEV/FEP ; Total ; Empresa ; REAL ; Estado 1 ; Comp /cheque ;Fecha ;Monto
27-01-17;2995;Fact;Castro & Cox;NITRATO DE MG/SULF.FE;Bodega;San Jorge;Aji 17;Bodega;;1;289.500;289.500;55.005;;;344.505;massai;massai;Pagado;;;
27-01-17;514507;Fact;cals;Mezcla 172020;Bodega;La Calera;Apio 17;Bodega;;600;275;165.000;31.350;;;196.350;Gonzalez ;Collao;PAGADA;;;
30-01-17;29;Fact;Ventura Sepulveda;Brocoli;Comercializadora;Catemu;Brocoli;BrÜcoli 17;;60.850;140;8.519.000;1.618.610;;;10.137.610;Valcam;Valcam;;;;
30-01-17;1454;Fact;maderas central;Varios;Bodega;San Jorge;Bodega;Bodega;;1;42.378;42.378;8.052;;;50.430;massai;massai;;;;
30-01-17;64;NC;maderas central;Anula fact 1454;Bodega;San Jorge;Bodega;Bodega;;1;42.378;42.378;8.052;;;50.430;massai;massai;;;;
30-01-17;459390;Fact;GMT;Topas;Bodega;San Jorge;Bodega;Bodega;;70.191;2;140.383;26.673;;;167.055;massai;massai;pagada ;;;
31-01-17;12070;Fact;Pucalan;Guano Estabilizado;Guano;San Jorge;Apio 17;Apio 17;;182;10.400;1.892.800;359.632;;;2.252.432;Gonzalez ;Valcam;Parcial;17128;30-03-17;359.632
31-01-17;1453;Fact;maderas central;Varios;Bodega;San Jorge;Bodega;Bodega;;1;210.798;210.798;40.052;;;250.850;Massai;Massai;;;;
31-01-17;63;NC;maderas central;anula fact 1453;Bodega;San Jorge;Bodega;Bodega;;1;210.798;210.798;40.052;;;250.850;Massai;Massai;;;;
31-01-17;1496;Fact;maderas central;Tapa/clavos/malla/pinos/cinta/manguera;Bodega;San Jorge;Bodega;Bodega;;1;65.084;65.084;12.366;;;77.450;massai;massai;;;;
31-01-17;1497;Fact;maderas central;pinos/grapas/disco/cemento/picptas;Bodega;;Bodega;Bodega;;1;124.185;124.185;23.595;;;147.780;brice_o;Brice_o;;;;
31-01-17;153;Fact;Hernan Azocar Soto;Modificar Rotovator;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;700.000;1;700.000;133.000;;;833.000;brice_o;Brice_o;pagada ;;;
31-01-17;1237;Fact;FARCOM;Bencina 93;Combustible y Lubricantes;LLay llay;Tomate;Tomate 17;;1;44.618;44.618;8.477;;31.904;84.999;Valcam;Valcam;;;;
31-01-17;1236;Fact;FARCOM;Bencina 93;Combustible y Lubricantes;LLay llay;Tomate;Tomate 17;;1;48.457;48.457;9.207;;32.336;90.000;Valcam;Valcam;;;;
31-01-17;17335;Fact;Com. Rosati;Aceites;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;93.361;93.361;17.739;;;111.100;brice_o;Brice_o;Pagada;;;
31-01-17;17342;Fact;Com. Rosati;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;1.414.453;1.414.453;268.746;;233.596;1.916.795;brice_o;Brice_o;Pagada;;;
31-01-17;516734;Fact;Cals;Neres;Bodega;San Jorge;Bodega;Bodega;;12;16.855;202.260;38.429;;;240.689;Gonzalez ;Valcam;PAGADA;;;
31-01-17;7110;Fact;Agroalmar;Aspersor codo etc;casa;San Jorge;casa;Casa;;1;339.600;339.600;64.524;;;404.124;brice_o;Brice_o;pagada;;;
01-02-17;1498;Fact;maderas central;rozon/limas/horquetas/chuzo;Bodega;;Bodega;Bodega;;1;60.252;60.252;11.448;;;71.700;brice_o;Brice_o;;;;
01-02-17;7170;Fact;Agroalmar;Tapon Pegamento;Materiales de Riego;San Jorge;Casa;Casa;;1;5.239;5.239;995;;;6.234;brice_o;Brice_o;pagada;;;
02-02-17;7803;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17;;180.000;10;1.800.000;342.000;;;2.142.000;INVERTEC;Valcam;;;;
02-02-17;4517;Fact;Esmera;Diluy/brocha/angulo/rectang;InversiÜn;San Jorge;Maquinaria;Maquinaria;;1;50.000;50.000;9.500;;;59.500;brice_o;Brice_o;pagada;;;
02-02-17;2;Fact;David villarroel Arancibia;Flete;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;70.000;70.000;13.300;;;83.300;Valcam;Valcam;Pagado;3008;06-03-17;
